"#;""RefDes"";""Value"";""Name"";""Pattern"";""Quantity"""
"1;""B1"";"""";""BR2032-1F2"";""CR1616-1F2"";""1"""
"2;""C1"";"""";""CAP_1210"";""CAP_1210"";""1"""
"3;""C2"";"""";""CAP_1210"";""CAP_1210"";""1"""
"4;""C3"";"""";""CAP_1210"";""CAP_1210"";""1"""
"5;""C4"";"""";""CAP_ADJUSTABLE"";""CAP_1812"";""1"""
"6;""C5"";"""";""CAP_1206"";""CAP_1206"";""1"""
"7;""C6"";"""";""CAP_1206"";""CAP_1206"";""1"""
"8;""C7"";"""";""CAP_1206"";""CAP_1206"";""1"""
"9;""C8"";"""";""CAP_1206"";""CAP_1206"";""1"""
"10;""C9"";"""";""CAP_1206"";""CAP_1206"";""1"""
"11;""C10"";"""";""CAP_1206"";""CAP_1206"";""1"""
"12;""C11"";"""";""CAP_1206"";""CAP_1206"";""1"""
"13;""C12"";"""";""CAP_1206"";""CAP_1206"";""1"""
"14;""C13"";"""";""CAP_1206"";""CAP_1206"";""1"""
"15;""C14"";"""";""CAP_1206"";""CAP_1206"";""1"""
"16;""C15"";"""";""CAP_1210"";""CAP_1210"";""1"""
"17;""C16"";"""";""CAP_1210"";""CAP_1210"";""1"""
"18;""C17"";""1u"";""CAP_1812"";""CAP_1812"";""1"""
"19;""C18"";""1u"";""CAP_1812"";""CAP_1812"";""1"""
"20;""C19"";""100u"";""CAP_1812"";""CAP_1812"";""1"""
"21;""C20"";""1u"";""CAP_1812"";""CAP_1812"";""1"""
"22;""C21"";"""";""CAP_1206"";""CAP_1206"";""1"""
"23;""C22"";"""";""CAP_1206"";""CAP_1206"";""1"""
"24;""C23"";""100uF"";""CAP_1206"";""CAP_1206"";""1"""
"25;""C24"";"""";""CAP_1210"";""CAP_1210"";""1"""
"26;""C25"";"""";""CAP_1210"";""CAP_1210"";""1"""
"27;""C26"";"""";""CAP_1210"";""CAP_1210"";""1"""
"28;""C27"";"""";""CAP_1210"";""CAP_1210"";""1"""
"29;""C28"";"""";""CAP_1206"";""CAP_1206"";""1"""
"30;""C29"";"""";""CAP_1206"";""CAP_1206"";""1"""
"31;""C30"";"""";""CAP_1210"";""CAP_1210"";""1"""
"32;""C31"";"""";""CAP_1210"";""CAP_1210"";""1"""
"33;""C32"";"""";""CAP_1210"";""CAP_1210"";""1"""
"34;""J1"";"""";""1-1776275-0"";""HDRF-2x5/1.27"";""1"""
"35;""J2"";"""";""EDG10M"";""HDRF-2x5"";""1"""
"36;""J3"";"""";""1-1776275-0"";""HDRF-2x5/1.27"";""1"""
"37;""J1_NA"";"""";""CON_COAX_MALE"";""MMCX-3.4/4V3"";""1"""
"38;""J2_cath"";"""";""CON_COAX_MALE"";""MMCX-3.4/4V3"";""1"""
"39;""Jpreamp"";"""";""CON_COAX_MALE"";""MMCX-3.4/4V3"";""1"""
"40;""L1"";"""";""IND_1210"";""IND_1210"";""1"""
"41;""L2"";"""";""IND_1210"";""IND_1210"";""1"""
"42;""L3"";"""";""IND_1210"";""IND_1210"";""1"""
"43;""L4"";"""";""IND_1210"";""IND_1210"";""1"""
"44;""L5"";"""";""IND_1210"";""IND_1210"";""1"""
"45;""L6"";"""";""IND_1812"";""IND_1812"";""1"""
"46;""L8"";"""";""IND_1210"";""IND_1210"";""1"""
"47;""L9"";"""";""IND_1210"";""IND_1210"";""1"""
"48;""L10"";"""";""IND_1210"";""IND_1210"";""1"""
"49;""L11"";"""";""IND_1812"";""IND_1812"";""1"""
"50;""Ldetune"";"""";""IND_1210"";""IND_1210"";""1"""
"51;""NetPort1"";"""";""GND_COMMON"";"""";""1"""
"52;""NetPort2"";"""";""GND_COMMON"";"""";""1"""
"53;""NetPort3"";"""";""GND_COMMON"";"""";""1"""
"54;""NetPort4"";"""";""GND_COMMON"";"""";""1"""
"55;""NetPort5"";"""";""GND_COMMON"";"""";""1"""
"56;""NetPort6"";"""";""GND_COMMON"";"""";""1"""
"57;""NetPort7"";"""";""GND_COMMON"";"""";""1"""
"58;""NetPort8"";"""";""GND_COMMON"";"""";""1"""
"59;""NetPort9"";"""";""GND_COMMON"";"""";""1"""
"60;""NetPort10"";"""";""GND_COMMON"";"""";""1"""
"61;""NetPort11"";"""";""GND_COMMON"";"""";""1"""
"62;""NetPort12"";"""";""GND_COMMON"";"""";""1"""
"63;""NetPort13"";"""";""GND_COMMON"";"""";""1"""
"64;""NetPort14"";"""";""GND_preamp"";"""";""1"""
"65;""NetPort15"";"""";""GND_COMMON"";"""";""1"""
"66;""NetPort16"";"""";""GND_COMMON"";"""";""1"""
"67;""NetPort17"";"""";""GND_COMMON"";"""";""1"""
"68;""NetPort18"";"""";""GND_COMMON"";"""";""1"""
"69;""NetPort19"";"""";""Vtherm"";"""";""1"""
"70;""NetPort20"";"""";""GND_COMMON"";"""";""1"""
"71;""NetPort21"";"""";""GND_COMMON"";"""";""1"""
"72;""NetPort22"";"""";""GND_COMMON"";"""";""1"""
"73;""NetPort23"";"""";""GND_COMMON"";"""";""1"""
"74;""Q1"";"""";""JFET_N4"";""SDIP-4V"";""1"""
"75;""Q2"";"""";""JFET_N4"";""SDIP-4V"";""1"""
"76;""R1"";""150"";""RES"";""RES_0402"";""1"""
"77;""R2"";""20"";""RES"";""RES_0402"";""1"""
"78;""R3"";""0"";""RES"";""RES_0402"";""1"""
"79;""R4"";""5"";""RES"";""RES_0402"";""1"""
"80;""R5"";""50"";""RES"";""RES_0402"";""1"""
"81;""R6"";""1000"";""RES"";""RES_0402"";""1"""
"82;""R9"";""1000"";""RES_0805"";""RES_0402"";""1"""
"83;""R10"";""1000"";""RES_0805"";""RES_0402"";""1"""
"84;""R11"";""1000"";""RES_0805"";""RES_0402"";""1"""
"85;""R13"";""1000"";""RES_0805"";""RES_0402"";""1"""
"86;""R14"";""1000"";""RES_0805"";""RES_0402"";""1"""
"87;""R15"";""1000"";""RES_0805"";""RES_0402"";""1"""
"88;""R16"";""1000"";""RES_0805"";""RES_0805"";""1"""
"89;""R17"";"""";""RES_0805"";""RES_0805"";""1"""
"90;""R18"";""1000"";""RES_0805"";""RES_0402"";""1"""
"91;""R21"";""0"";""RES_0805"";""RES_0402"";""1"""
"92;""RWS1"";""13.3k"";""RES_0805"";""RES_0805"";""1"""
"93;""RWS2"";""13.3k"";""RES_0805"";""RES_0805"";""1"""
"94;""RWS3"";""13.3k"";""RES_0805"";""RES_0805"";""1"""
"95;""SW1"";"""";""HMC252QS24E"";""QSOP-24"";""1"""
"96;""SW2"";"""";""HMC252QS24E"";""QSOP-24"";""1"""
"97;""SW3"";"""";""HMC252QS24E"";""QSOP-24"";""1"""
"98;""SW4"";"""";""HMC194AMS8E"";""MSOP-8"";""1"""
"99;""Thermistor_PortA"";"""";""Port_ThermA"";"""";""1"""
